时间标识,2024/7/8 15:48:14,时间标识,2024/7/8 15:48:14
间隔,0.0002,间隔,0.0002
通道名称,"输入0",通道名称,"输入1"
单位,"V",单位,"V"
0.0874,2.0684573007747531,0.0874,2.1058878689073026
0.0876,2.0658758822828531,0.0876,2.1149228336289525
0.0878,2.0710387192666531,0.0878,2.1136321243830025
0.088,2.0684573007747531,0.088,2.1123414151370525
0.0882,2.0684573007747531,0.0882,2.1097599966451526
0.0884,2.0697480100207031,0.0884,2.1123414151370525
0.0886,2.0671665915288031,0.0886,2.1123414151370525
0.0888,2.074910847004503,0.0888,2.1149228336289525
0.089,2.0684573007747531,0.089,2.1136321243830025
0.0892,2.0710387192666531,0.0892,2.1187949613668025
0.0894,2.074910847004503,0.0894,2.1136321243830025
0.0896,2.078782974742353,0.0896,2.1239577983506024
0.0898,2.077492265496403,0.0898,2.1149228336289525
0.09,2.073620137758553,0.09,2.1149228336289525
0.0902,2.077492265496403,0.0902,2.1200856706127524
0.0904,2.076201556250453,0.0904,2.1187949613668025
0.0906,2.077492265496403,0.0906,2.1265392168425024
0.0908,2.0800736839883029,0.0908,2.1162135428749025
0.091,2.078782974742353,0.091,2.1252485075965524
0.0912,2.0813643932342529,0.0912,2.1162135428749025
0.0914,2.0852365209721029,0.0914,2.1278299260884523
0.0916,2.0865272302180529,0.0916,2.1265392168425024
0.0918,2.0826551024802029,0.0918,2.1265392168425024
0.092,2.0852365209721029,0.092,2.1265392168425024
0.0922,2.0852365209721029,0.0922,2.1329927630722523
0.0924,2.0852365209721029,0.0924,2.1381556000560522
0.0926,2.0865272302180529,0.0926,2.1342834723182023
0.0928,2.0891086487099528,0.0928,2.1368648908101022
0.093,2.0942714856937528,0.093,2.1342834723182023
0.0932,2.0942714856937528,0.0932,2.1368648908101022
0.0934,2.0942714856937528,0.0934,2.1433184370398521
0.0936,2.0942714856937528,0.0936,2.1433184370398521
0.0938,2.0955621949397027,0.0938,2.1420277277939022
0.094,2.0994343226775527,0.094,2.1433184370398521
0.0942,2.1020157411694527,0.0942,2.1458998555317521
0.0944,2.1007250319235027,0.0944,2.1446091462858021
0.0946,2.1020157411694527,0.0946,2.1458998555317521
0.0948,2.1020157411694527,0.0948,2.1433184370398521
0.095,2.1033064504154027,0.095,2.1471905647777021
0.0952,2.0994343226775527,0.0952,2.1497719832696021
0.0954,2.1058878689073026,0.0954,2.1497719832696021
0.0956,2.1020157411694527,0.0956,2.151062692515552
0.0958,2.1033064504154027,0.0958,2.1497719832696021
0.096,2.1071785781532526,0.096,2.1484812740236521
0.0962,2.1084692873992026,0.0962,2.151062692515552
0.0964,2.1097599966451526,0.0964,2.1497719832696021
0.0966,2.1084692873992026,0.0966,2.153644111007452
0.0968,2.1097599966451526,0.0968,2.1471905647777021
0.097,2.1084692873992026,0.097,2.152353401761502
0.0972,2.1084692873992026,0.0972,2.152353401761502
0.0974,2.1071785781532526,0.0974,2.156225529499352
0.0976,2.1097599966451526,0.0976,2.1471905647777021
0.0978,2.1084692873992026,0.0978,2.151062692515552
0.098,2.1136321243830025,0.098,2.151062692515552
0.0982,2.1058878689073026,0.0982,2.151062692515552
0.0984,2.1110507058911026,0.0984,2.151062692515552
0.0986,2.1110507058911026,0.0986,2.1471905647777021
